symbol,hour_ms,funding_rate
BNBUSDT,1585468800000,-0.00071773
BNBUSDT,1585497600000,-0.00030985
BNBUSDT,1585526400000,-0.00058307
BNBUSDT,1585555200000,-0.00051558
BNBUSDT,1585584000000,-0.00037297
BNBUSDT,1585612800000,-0.00034341
BNBUSDT,1585641600000,-0.00044911
BNBUSDT,1585670400000,0.0
BNBUSDT,1585699200000,0.0
BNBUSDT,1585728000000,0.0
BNBUSDT,1585756800000,0.0
BNBUSDT,1585785600000,-0.00038278
BNBUSDT,1585814400000,-0.0005377
BNBUSDT,1585843200000,0.0
BNBUSDT,1585872000000,-5.878e-05
BNBUSDT,1585900800000,-0.00093878
BNBUSDT,1585929600000,0.0
BNBUSDT,1585958400000,0.0
BNBUSDT,1585987200000,0.0
BNBUSDT,1586016000000,0.0
BNBUSDT,1586044800000,1.815e-05
BNBUSDT,1586073600000,3.597e-05
BNBUSDT,1586102400000,0.0
BNBUSDT,1586131200000,0.0001949
BNBUSDT,1586160000000,0.00012984
BNBUSDT,1586188800000,0.0
BNBUSDT,1586217600000,0.0
BNBUSDT,1586246400000,8.068e-05
BNBUSDT,1586275200000,6.871e-05
BNBUSDT,1586304000000,0.0
BNBUSDT,1586332800000,0.0
BNBUSDT,1586361600000,0.0
BNBUSDT,1586390400000,0.0
BNBUSDT,1586419200000,0.0
BNBUSDT,1586448000000,0.0
BNBUSDT,1586476800000,0.0
BNBUSDT,1586505600000,0.0
BNBUSDT,1586534400000,0.0
BNBUSDT,1586563200000,-0.00012615
BNBUSDT,1586592000000,0.0
BNBUSDT,1586620800000,0.0
BNBUSDT,1586649600000,0.0
BNBUSDT,1586678400000,0.0
BNBUSDT,1586707200000,0.0
BNBUSDT,1586736000000,0.0
BNBUSDT,1586764800000,0.0
BNBUSDT,1586793600000,-0.00106444
BNBUSDT,1586822400000,-0.00105536
BNBUSDT,1586851200000,-0.00048669
BNBUSDT,1586880000000,-0.00163126
BNBUSDT,1586908800000,-0.00161834
BNBUSDT,1586937600000,-0.00054383
BNBUSDT,1586966400000,0.0
BNBUSDT,1586995200000,-0.00022565
BNBUSDT,1587024000000,-0.00154515
BNBUSDT,1587052800000,-0.00162046
BNBUSDT,1587081600000,-0.00244099
BNBUSDT,1587110400000,-0.0021833
BNBUSDT,1587139200000,-0.00082619
BNBUSDT,1587168000000,-0.00088774
BNBUSDT,1587196800000,-0.00023463
BNBUSDT,1587225600000,-0.00019125
BNBUSDT,1587254400000,-0.0007285
BNBUSDT,1587283200000,-0.00098575
BNBUSDT,1587312000000,-0.00097202
BNBUSDT,1587340800000,-0.00083493
BNBUSDT,1587369600000,-0.00040011
BNBUSDT,1587398400000,-0.00120041
BNBUSDT,1587427200000,-0.00205524
BNBUSDT,1587456000000,-0.0002257
BNBUSDT,1587484800000,-0.00129702
BNBUSDT,1587513600000,-0.00099634
BNBUSDT,1587542400000,-0.00048035
BNBUSDT,1587571200000,0.0
BNBUSDT,1587600000000,0.0
BNBUSDT,1587628800000,-0.0005323
BNBUSDT,1587657600000,0.0
BNBUSDT,1587686400000,0.0
BNBUSDT,1587715200000,0.0
BNBUSDT,1587744000000,0.0
BNBUSDT,1587772800000,0.0
BNBUSDT,1587801600000,0.0
BNBUSDT,1587830400000,0.0
BNBUSDT,1587859200000,0.0
BNBUSDT,1587888000000,-9.795e-05
BNBUSDT,1587916800000,0.0
BNBUSDT,1587945600000,0.0
BNBUSDT,1587974400000,0.0
BNBUSDT,1588003200000,0.0
BNBUSDT,1588032000000,0.0
BNBUSDT,1588060800000,-0.00064392
BNBUSDT,1588089600000,0.0
BNBUSDT,1588118400000,0.0
BNBUSDT,1588147200000,0.0
BNBUSDT,1588176000000,0.0
BNBUSDT,1588204800000,-0.00065188
BNBUSDT,1588233600000,-0.00016727
BNBUSDT,1588262400000,-0.00190521
BNBUSDT,1588291200000,-0.00132408
BNBUSDT,1588320000000,-0.00021921
BNBUSDT,1588348800000,-0.00043006
BNBUSDT,1588377600000,-0.00069085
BNBUSDT,1588406400000,-0.00080576
BNBUSDT,1588435200000,-6.443e-05
BNBUSDT,1588464000000,0.0
BNBUSDT,1588492800000,0.0
BNBUSDT,1588521600000,-0.00121372
BNBUSDT,1588550400000,-0.00119549
BNBUSDT,1588579200000,0.0
BNBUSDT,1588608000000,0.0
BNBUSDT,1588636800000,0.0
BNBUSDT,1588665600000,0.0
BNBUSDT,1588694400000,0.0
BNBUSDT,1588723200000,-0.00056844
BNBUSDT,1588752000000,-0.00080135
BNBUSDT,1588780800000,0.0
BNBUSDT,1588809600000,0.0
BNBUSDT,1588838400000,-0.00021386
BNBUSDT,1588867200000,0.0
BNBUSDT,1588896000000,0.0
BNBUSDT,1588924800000,0.0
BNBUSDT,1588953600000,0.0
BNBUSDT,1588982400000,0.0
BNBUSDT,1589011200000,0.0
BNBUSDT,1589040000000,0.0
BNBUSDT,1589068800000,0.0
BNBUSDT,1589097600000,-0.00078928
BNBUSDT,1589126400000,-0.00060654
BNBUSDT,1589155200000,0.0
BNBUSDT,1589184000000,-0.00025328
BNBUSDT,1589212800000,0.0
BNBUSDT,1589241600000,-0.00029358
BNBUSDT,1589270400000,0.0
BNBUSDT,1589299200000,0.0
BNBUSDT,1589328000000,-0.00025472
BNBUSDT,1589356800000,-0.00099136
BNBUSDT,1589385600000,0.0
BNBUSDT,1589414400000,0.0
BNBUSDT,1589443200000,-0.00095429
BNBUSDT,1589472000000,-9.641e-05
BNBUSDT,1589500800000,0.0
BNBUSDT,1589529600000,0.0
BNBUSDT,1589558400000,0.0
BNBUSDT,1589587200000,0.0
BNBUSDT,1589616000000,0.0
BNBUSDT,1589644800000,0.0
BNBUSDT,1589673600000,0.0
BNBUSDT,1589702400000,0.0
BNBUSDT,1589731200000,0.0
BNBUSDT,1589760000000,0.0
BNBUSDT,1589788800000,0.0
BNBUSDT,1589817600000,0.0
BNBUSDT,1589846400000,0.0
BNBUSDT,1589875200000,0.0
BNBUSDT,1589904000000,0.0
BNBUSDT,1589932800000,0.0
BNBUSDT,1589961600000,0.0
BNBUSDT,1589990400000,0.0
BNBUSDT,1590019200000,0.0
BNBUSDT,1590048000000,0.0
BNBUSDT,1590076800000,0.0
BNBUSDT,1590105600000,0.0
BNBUSDT,1590134400000,2.744e-05
BNBUSDT,1590163200000,0.0
BNBUSDT,1590192000000,9.99e-05
BNBUSDT,1590220800000,5.223e-05
BNBUSDT,1590249600000,0.0
BNBUSDT,1590278400000,5.841e-05
BNBUSDT,1590307200000,0.00023836
BNBUSDT,1590336000000,0.0
BNBUSDT,1590364800000,0.0
BNBUSDT,1590393600000,0.0
BNBUSDT,1590422400000,0.0
BNBUSDT,1590451200000,0.0
BNBUSDT,1590480000000,0.0
BNBUSDT,1590508800000,0.0
BNBUSDT,1590537600000,0.0
BNBUSDT,1590566400000,0.0
BNBUSDT,1590595200000,0.0
BNBUSDT,1590624000000,0.0
BNBUSDT,1590652800000,0.0
BNBUSDT,1590681600000,0.0
BNBUSDT,1590710400000,0.0
BNBUSDT,1590739200000,0.0
BNBUSDT,1590768000000,0.0
BNBUSDT,1590796800000,0.0
BNBUSDT,1590825600000,0.0
BNBUSDT,1590854400000,8.96e-06
BNBUSDT,1590883200000,3.531e-05
BNBUSDT,1590912000000,0.00035834
BNBUSDT,1590940800000,0.0
BNBUSDT,1590969600000,0.0
BNBUSDT,1590998400000,0.0
BNBUSDT,1591027200000,0.0
BNBUSDT,1591056000000,8.273e-05
BNBUSDT,1591084800000,0.00150317
BNBUSDT,1591113600000,0.00015673
BNBUSDT,1591142400000,0.0
BNBUSDT,1591171200000,0.0
BNBUSDT,1591200000000,0.0
BNBUSDT,1591228800000,0.0
BNBUSDT,1591257600000,0.0
BNBUSDT,1591286400000,0.0
BNBUSDT,1591315200000,0.0
BNBUSDT,1591344000000,0.0
BNBUSDT,1591372800000,0.0
BNBUSDT,1591401600000,0.0
BNBUSDT,1591430400000,0.0
BNBUSDT,1591459200000,0.0
BNBUSDT,1591488000000,0.0
BNBUSDT,1591516800000,0.0
BNBUSDT,1591545600000,3.662e-05
BNBUSDT,1591574400000,0.0
BNBUSDT,1591603200000,0.0
BNBUSDT,1591632000000,0.0
BNBUSDT,1591660800000,0.0
BNBUSDT,1591689600000,0.0
BNBUSDT,1591718400000,0.00028021
BNBUSDT,1591747200000,0.0
BNBUSDT,1591776000000,0.0
BNBUSDT,1591804800000,0.0
BNBUSDT,1591833600000,3.271e-05
BNBUSDT,1591862400000,6.225e-05
BNBUSDT,1591891200000,0.00022627
BNBUSDT,1591920000000,0.0
BNBUSDT,1591948800000,0.0
BNBUSDT,1591977600000,0.0
BNBUSDT,1592006400000,0.0
BNBUSDT,1592035200000,0.0
BNBUSDT,1592064000000,0.0
BNBUSDT,1592092800000,0.0
BNBUSDT,1592121600000,0.0
BNBUSDT,1592150400000,0.0
BNBUSDT,1592179200000,0.0
BNBUSDT,1592208000000,0.0
BNBUSDT,1592236800000,0.0
BNBUSDT,1592265600000,0.0
BNBUSDT,1592294400000,0.0
BNBUSDT,1592323200000,0.0
BNBUSDT,1592352000000,0.0
BNBUSDT,1592380800000,0.0
BNBUSDT,1592409600000,0.0
BNBUSDT,1592438400000,0.0
BNBUSDT,1592467200000,0.0
BNBUSDT,1592496000000,0.0
BNBUSDT,1592524800000,0.0
BNBUSDT,1592553600000,0.0
BNBUSDT,1592582400000,0.0
