symbol,price,sigma_h_%,sigma_ann_%,vol_h_M,part_%,impact_bp,rt_cost_%,impact_share_%,start
BTC,77940.62,0.3903442904921684,36.53422376963481,33.1087056794661,0.030203536486181532,0.678385770509501,0.21356771541019004,6.352886897783735,2026-08-03
ETH,2515.84,0.5469230864262038,51.18919607887832,17.916293731533997,0.055815115279111906,1.2921179776392835,0.2258423595527857,11.442653895380325,2026-08-03
SOL,101.88,0.6084745228468331,56.9500948708099,6.34099363143,0.15770399059279347,2.4163716976334473,0.24832743395266896,19.461173976404122,2026-08-03
XRP,1.3996,0.8409554410322074,78.7091165704626,4.288789653525001,0.2331660167054567,4.060744002703462,0.28121488005406925,28.880008070146946,2026-08-03
BNB,723.27,0.41771946542951083,39.09639975441159,2.6023208217500002,0.384272373967912,2.5894307154718326,0.25178861430943666,20.568290767028415,2026-08-03
DOGE,0.08446,0.757374170163257,70.88633825077315,1.470544612035,0.6800201719933943,6.2455600376547515,0.32491120075309504,38.444719807618135,2026-08-03
UNI,6.309,1.1355632847354815,106.2828998902444,0.92997027848,1.0753031824140238,11.775430890586552,0.435508617811731,54.07668371640367,2026-08-03
TRX,0.3404,0.17692807705338232,16.5595606638677,0.8646096127,1.1565913509534127,1.9027718929192001,0.238055437858384,15.985956128850404,2026-08-03
ADA,0.2107,0.8853984055318074,82.86875012874285,0.8036860697400001,1.244266931643483,9.87632823696047,0.39752656473920933,49.688896858702606,2026-08-03
LINK,11.395,0.7379107567890193,69.06466257405522,0.79001738337,1.2657949319219672,8.302053304473485,0.3660410660894697,45.361321849304495,2026-08-03
LTC,53.85,0.5907440733065077,55.29061572170867,0.474201849,2.1088066234005765,8.578626341450557,0.37157252682901115,46.17470734265689,2026-08-03
AVAX,7.391,0.6588809407555419,61.667877085532574,0.44372728099,2.2536365079219376,9.891197639375166,0.3978239527875033,49.726506260212666,2026-08-03
DOT,1.016,0.8782150712471148,82.19642687831654,0.18206677944000002,5.492490190004977,20.581903176338844,0.611638063526777,67.30092322136126,2026-08-03
ATOM,1.581,0.7672872562367349,71.81415226951914,0.059334828135,16.85350798901408,31.49946232607189,0.8299892465214377,75.90330226105718,2026-08-03
